PhiL	ThetaL	PhiP	ThetaP	PhiPi	ThetaPi
0.000   5.162	4.711   2.025   1.565   -1.136
0.000   5.526	4.703   2.363   1.520   -0.642
0.000   5.451	4.691   2.310   1.416   -0.833
0.000   0.724	1.580   0.745   1.512   0.595
0.000   0.360	1.563   0.344   1.638   0.496
0.000   5.728	4.710   2.563   1.559   -0.443
0.000   5.861	4.716   2.726   1.580   -0.444
0.000   5.646	4.708   2.484   1.556   -0.559
0.000   0.768	1.568   0.782   1.580   0.725
0.000   5.255	4.712   2.116   1.569   -1.038
0.000   6.061	4.706   2.927   1.551   -0.244
0.000   5.886	4.727   2.760   1.676   -0.507
0.000   0.038	1.586   0.021   1.505   0.109
0.000   5.430	4.697   2.280   1.518   -0.825
0.000   0.865	1.586   0.879   1.508   0.807
0.000   5.486	4.734   2.351   1.660   -0.825
0.000   5.918	4.706   2.767   1.489   -0.248
0.000   0.351	1.584   0.369   1.510   0.267
0.000   5.418	4.722   2.256   1.612   -0.777
0.000   6.081	4.716   2.955   1.605   -0.347
0.000   5.760	4.712   2.609   1.571   -0.494
0.000   5.261	4.707   2.098   1.530   -0.869
0.000   0.859	1.570   0.876   1.575   0.801
0.000   0.885	1.579   0.906   1.541   0.810
0.000   6.262	4.728   3.114   1.722   0.038
0.000   5.382	4.696   2.244   1.509   -0.917
0.000   0.157	1.551   0.166   1.718   0.087
0.000   0.152	1.563   0.172   1.602   0.074
0.000   0.433	1.560   0.453   1.616   0.349
0.000   6.011	4.713   2.846   1.575   -0.170
0.000   0.179	1.547   0.182   1.686   0.165
0.000   6.097	4.728   2.961   1.722   -0.235
0.000   0.410	1.588   0.399   1.437   0.498
0.000   0.818	1.583   0.836   1.523   0.745
0.000   5.856	4.730   2.704   1.637   -0.388
0.000   5.781	4.691   2.641   1.412   -0.512
0.000   0.515	1.587   0.502   1.447   0.618
0.000   0.258	1.590   0.248   1.493   0.297
0.000   0.483	1.553   0.471   1.639   0.528
0.000   0.551	1.585   0.566   1.518   0.498
0.000   4.998	4.693   1.845   1.501   -1.249
0.000   0.363	1.591   0.355   1.438   0.413
0.000   5.179	4.733   2.031   1.646   -1.084
0.000   5.545	4.728   2.385   1.641   -0.657
0.000   5.810	4.721   2.689   1.606   -0.557
0.000   0.012	1.547   0.016   1.714   -0.017
0.000   6.205	4.731   3.076   1.654   -0.135
0.000   5.597	4.718   2.460   1.587   -0.701
0.000   5.350	4.727   2.195   1.621   -0.886
0.000   0.276	1.594   0.273   1.441   0.294
0.000   0.276	1.592   0.273   1.421   0.296
0.000   0.422	1.581   0.441   1.498   0.286
0.000   0.337	1.584   0.346   1.441   0.247
0.000   5.414	4.705   2.251   1.516   -0.719
0.000   5.918	4.732   2.768   1.644   -0.332
0.000   6.171	4.729   3.045   1.665   -0.206
0.000   0.014	1.572   0.037   1.565   -0.077
0.000   0.788	1.564   0.787   1.592   0.793
0.000   0.816	1.579   0.839   1.526   0.691
0.000   5.113	4.724   1.961   1.610   -1.137
0.000   0.846	1.553   0.860   1.650   0.785
0.000   0.394	1.587   0.378   1.472   0.488
0.000   0.400	1.555   0.415   1.632   0.339
0.000   6.068	4.698   2.921   1.420   -0.156
0.000   5.548	4.726   2.386   1.643   -0.621
0.000   5.099	4.693   1.945   1.494   -1.138
0.000   1.175	1.563   1.177   1.593   1.169
0.000   5.706	4.713   2.560   1.574   -0.566
0.000   5.924	4.723   2.801   1.647   -0.491
0.000   0.063	1.566   0.061   1.584   0.066
0.000   0.235	1.571   0.245   1.563   0.111
0.000   5.842	4.712   2.707   1.571   -0.462
0.000   5.795	4.701   2.672   1.492   -0.609
0.000   5.476	4.734   2.333   1.699   -0.796
0.000   1.216	1.560   1.236   1.613   1.143
0.000   5.507	4.691   2.357   1.461   -0.735
0.000   5.909	4.716   2.789   1.590   -0.502
0.000   5.616	4.707   2.452   1.538   -0.532
0.000   0.499	1.579   0.483   1.501   0.638
0.000   0.525	1.549   0.527   1.733   0.514
0.000   5.510	4.693   2.357   1.480   -0.720
0.000   5.146	4.707   1.988   1.550   -1.077
0.000   0.612	1.592   0.600   1.466   0.672
0.000   5.628	4.705   2.473   1.546   -0.610
0.000   5.387	4.696   2.231   1.478   -0.812
0.000   5.269	4.698   2.109   1.504   -0.927
0.000   5.787	4.718   2.656   1.588   -0.530
0.000   5.617	4.695   2.464   1.508   -0.626
0.000   5.949	4.699   2.791   1.518   -0.269
0.000   1.028	1.572   1.051   1.567   0.936
0.000   6.127	4.715   3.007   1.589   -0.296
0.000   6.217	4.707   3.087   1.555   -0.104
0.000   0.797	1.550   0.807   1.655   0.754
0.000   0.359	1.580   0.380   1.519   0.241
0.000   6.228	4.698   3.083   1.521   -0.042
0.000   5.622	4.732   2.479   1.643   -0.654
0.000   0.657	1.556   0.637   1.638   0.747
0.000   0.493	1.554   0.511   1.645   0.413
0.000   6.129	4.708   2.971   1.554   -0.097
0.000   6.136	4.692   2.979   1.477   -0.074
0.000   5.576	4.704   2.437   1.544   -0.717
0.000   0.595	1.576   0.619   1.539   0.456
0.000   5.800	4.695   2.646   1.499   -0.431
0.000   0.058	1.567   0.060   1.582   0.053
0.000   5.082	4.696   1.921   1.485   -1.098
0.000   5.266	4.692   2.118   1.441   -0.975
0.000   5.263	4.692   2.113   1.431   -0.961
0.000   5.530	4.733   2.379   1.688   -0.693
0.000   0.205	1.564   0.184   1.602   0.297
0.000   0.531	1.592   0.532   1.423   0.528
0.000   5.652	4.723   2.490   1.643   -0.494
0.000   1.132	1.573   1.137   1.564   1.116
0.000   5.971	4.689   2.836   1.451   -0.349
0.000   0.130	1.567   0.107   1.593   0.253
0.000   5.395	4.696   2.258   1.511   -0.906
0.000   0.086	1.572   0.097   1.554   -0.043
0.000   5.174	4.700   2.020   1.528   -1.065
0.000   0.685	1.590   0.682   1.404   0.707
0.000   5.923	4.700   2.793   1.452   -0.475
0.000   0.656	1.589   0.667   1.495   0.608
0.000   6.033	4.708   2.873   1.534   -0.093
0.000   0.057	1.565   0.034   1.595   0.148
0.000   0.094	1.569   0.108   1.575   0.046
0.000   1.029	1.585   1.016   1.521   1.075
0.000   0.304	1.592   0.294   1.454   0.358
0.000   5.486	4.735   2.342   1.662   -0.787
0.000   6.099	4.695   2.956   1.408   -0.164
0.000   0.378	1.580   0.396   1.537   0.308
0.000   5.571	4.736   2.419   1.688   -0.665
0.000   0.259	1.548   0.266   1.669   0.227
0.000   0.292	1.555   0.295   1.735   0.262
0.000   6.204	4.718   3.061   1.588   -0.075
0.000   0.317	1.547   0.323   1.682   0.288
0.000   5.196	4.711   2.054   1.568   -1.087
0.000   0.243	1.594   0.241   1.465   0.251
0.000   0.281	1.575   0.270   1.558   0.316
0.000   6.247	4.733   3.114   1.655   -0.069
0.000   5.397	4.701   2.237   1.495   -0.765
0.000   0.939	1.581   0.952   1.537   0.897
0.000   5.631	4.734   2.482   1.703   -0.604
0.000   5.964	4.725   2.809   1.611   -0.275
0.000   0.978	1.574   0.995   1.560   0.918
0.000   0.680	1.576   0.682   1.554   0.676
0.000   5.772	4.714   2.636   1.575   -0.531
0.000   0.288	1.573   0.309   1.552   0.133
0.000   0.057	1.565   0.073   1.628   -0.087
0.000   0.416	1.564   0.395   1.615   0.551
0.000   6.104	4.726   2.950   1.694   -0.076
0.000   0.173	1.555   0.157   1.632   0.237
0.000   5.897	4.714   2.752   1.575   -0.376
0.000   5.544	4.689   2.395   1.455   -0.707
0.000   5.486	4.712   2.346   1.570   -0.799
0.000   0.747	1.572   0.768   1.565   0.589
0.000   0.928	1.579   0.947   1.514   0.792
0.000   0.195	1.577   0.214   1.547   0.126
0.000   5.671	4.713   2.506   1.575   -0.479
0.000   0.174	1.589   0.160   1.493   0.235
0.000   0.171	1.560   0.189   1.648   0.045
0.000   0.722	1.554   0.734   1.634   0.677
0.000   0.122	1.559   0.104   1.619   0.192
0.000   0.388	1.579   0.410   1.517   0.252
0.000   0.015	1.551   0.025   1.697   -0.045
0.000   5.984	4.725   2.857   1.614   -0.351
0.000   0.679	1.590   0.692   1.487   0.623
0.000   0.225	1.591   0.216   1.424   0.296
0.000   1.056	1.572   1.054   1.568   1.062
0.000   0.868	1.555   0.886   1.657   0.773
0.000   1.162	1.573   1.158   1.563   1.172
0.000   0.598	1.568   0.618   1.580   0.527
0.000   5.354	4.694   2.203   1.440   -0.854
0.000   5.167	4.694   2.017   1.502   -1.086
0.000   0.447	1.574   0.458   1.562   0.411
0.000   0.686	1.576   0.702   1.554   0.631
0.000   6.198	4.715   3.049   1.610   0.023
0.000   0.665	1.562   0.683   1.632   0.530
0.000   6.110	4.706   2.987   1.516   -0.334
0.000   5.751	4.708   2.630   1.555   -0.606
0.000   5.205	4.723   2.059   1.605   -1.063
0.000   0.366	1.592   0.359   1.433   0.413
0.000   0.730	1.593   0.739   1.442   0.678
0.000   5.593	4.719   2.439   1.593   -0.646
0.000   5.921	4.701   2.776   1.535   -0.348
0.000   0.195	1.549   0.195   1.657   0.193
0.000   5.706	4.696   2.565   1.417   -0.579
0.000   0.793	1.562   0.781   1.599   0.836
0.000   5.341	4.728   2.215   1.637   -1.004
0.000   0.099	1.575   0.105   1.518   0.015
0.000   5.965	4.706   2.800   1.527   -0.174
0.000   0.787	1.556   0.805   1.640   0.707
0.000   5.132	4.707   1.997   1.554   -1.172
0.000   6.276	1.589   0.007   1.496   -0.065
0.000   5.808	4.696   2.684   1.489   -0.568
0.000   6.186	4.731   3.031   1.666   -0.028
0.000   5.462	4.699   2.321   1.524   -0.826
0.000   0.221	1.583   0.240   1.516   0.137
0.000   0.975	1.589   0.974   1.508   0.976
0.000   6.120	4.707   2.970   1.499   -0.061
0.000   6.044	4.729   2.889   1.638   -0.186
0.000   5.920	4.696   2.764   1.474   -0.275
0.000   0.846	1.589   0.858   1.494   0.796
0.000   0.916	1.585   0.934   1.519   0.851
0.000   5.546	4.708   2.429   1.549   -0.846
0.000   6.278	4.699   3.116   1.503   0.095
0.000   0.665	1.550   0.673   1.710   0.615
0.000   0.154	1.573   0.178   1.559   0.043
0.000   0.324	1.591   0.335   1.456   0.260
0.000   0.225	1.558   0.211   1.676   0.348
0.000   1.188	1.569   1.194   1.577   1.169
0.000   0.942	1.558   0.941   1.612   0.945
0.000   0.278	1.564   0.256   1.602   0.383
0.000   0.661	1.563   0.637   1.610   0.790
0.000   6.004	4.724   2.842   1.637   -0.162
0.000   0.318	1.584   0.297   1.509   0.418
0.000   0.004	1.580   0.025   1.536   -0.071
0.000   6.037	4.721   2.887   1.673   -0.147
0.000   5.286	4.705   2.122   1.525   -0.858
0.000   5.803	4.711   2.641   1.558   -0.323
0.000   5.980	4.701   2.823   1.475   -0.176
0.000   0.164	1.563   0.141   1.613   0.282
0.000   0.030	1.570   0.017   1.577   0.178
0.000   5.969	4.691   2.836   1.488   -0.346
0.000   0.342	1.554   0.349   1.634   0.315
0.000   6.253	4.695   3.093   1.481   0.066
0.000   6.077	4.734   2.943   1.702   -0.252
0.000   0.584	1.564   0.563   1.595   0.660
