Plx	Ply	Plz	Ppx	Ppy	Ppz	Ppix	Ppiy	Ppiz
4.720	-1.652	-0.000	4.330	-1.566	0.021	0.390	-0.085	-0.021
4.707	-1.689	-0.000	3.881	-1.338	0.076	0.826	-0.351	-0.076
4.493	-2.193	0.000	3.391	-1.677	-0.012	1.102	-0.516	0.012
2.541	-4.307	-0.000	1.907	-3.295	0.009	0.634	-1.012	-0.009
2.816	4.132	0.000	2.142	3.264	-0.008	0.674	0.868	0.008
4.102	2.857	-0.000	3.195	2.334	-0.006	0.907	0.523	0.006
4.545	2.085	0.000	3.485	1.551	0.010	1.060	0.533	-0.010
4.826	-1.308	-0.000	4.480	-1.226	-0.041	0.346	-0.082	0.041
4.122	2.831	-0.000	3.678	2.417	-0.001	0.444	0.414	0.001
4.216	2.688	0.000	3.556	2.200	-0.082	0.659	0.489	0.082
4.945	-0.744	-0.000	3.997	-0.658	0.068	0.948	-0.086	-0.068
4.271	2.600	0.000	3.429	2.107	-0.088	0.842	0.493	0.088
3.628	3.441	0.000	2.907	2.869	0.044	0.721	0.572	-0.044
3.902	-3.126	-0.000	3.278	-2.614	0.103	0.624	-0.512	-0.103
4.553	2.065	-0.000	3.974	1.865	0.075	0.580	0.200	-0.075
2.172	-4.503	-0.000	1.646	-3.371	-0.007	0.525	-1.132	0.007
3.634	-3.435	0.000	3.011	-2.969	-0.039	0.623	-0.466	0.039
3.367	-3.696	-0.000	2.957	-3.246	-0.095	0.410	-0.451	0.095
3.745	3.313	-0.000	3.162	2.919	-0.041	0.583	0.394	0.041
4.680	1.762	0.000	4.222	1.515	0.035	0.459	0.248	-0.035
4.249	-2.635	0.000	3.461	-2.261	-0.010	0.788	-0.374	0.010
4.560	-2.050	0.000	3.443	-1.520	0.012	1.117	-0.531	-0.012
4.018	-2.975	-0.000	3.132	-2.420	-0.016	0.887	-0.555	0.016
3.596	3.473	-0.000	2.700	2.679	0.012	0.896	0.794	-0.012
2.581	-4.282	0.000	1.960	-3.228	-0.002	0.621	-1.054	0.002
